speaker,sentence,emotion,annotation
Rachel,"Yes of course, absolutely! You're right. I'm sorry.",2,2030000
Ross,Thank you.,0,4010000
Rachel,Yes.,0,4010000
Ross,"All right I guess I'm, gonna go pack.",0,3010001
Rachel,"Okay. Oh wait! One more thing umm, do-do we still need to uh settle the question of ""us?""",3,1013000
Monica,Phoebe!,0,3200000
Phoebe,Yeah?,0,4000010
Monica,Have you seen Chandler?!,0,4000001
Phoebe,No! Why?,0,4000010
Monica,The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard!,3,2003000
Monica,I know!,3,2003000
Monica,How bad is this?,3,1004000
Monica,!,0,3002000
Phoebe,"Well for the regular guy, its bad, but Chandler, Oh dear God!",3,0004010
Monica,I know! I know! And he totally freaked out and I cant find him anywhere!,3,0004010
Phoebe,What are you gonna do?,0,3001010
Monica,"Well, Im never gonna listen to you again, thats for sure!",4,1000301
Monica,"""Yknow, harm can it do if you go and put your name down?""",0,3001001
Ross,"Come on, come on.",0,4000100
Ross,"Damnit, damnit, damnit, damnit.",4,0000500
Ross,This is all your fault.,4,0000401
Ross,"This is supposed to be, like, the greatest day of my life, y'know?",7,0010211
Ross,"My son is being born, and I should be in there, you know, instead of stuck in a closet with you.",4,0020300
Susan,The woman I love is having a baby today. I've been waiting for this just as much as you have.,7,1210100
Ross,"No no no, believe me.",7,1001111
Ross,"No one has been waiting for this as much as I have, ok?",4,2000300
Ross,And you know what the funny thing is?,0,3000110
Ross,"When this day is over, you get to go home with the baby, ok?",7,2010101
Ross,Where does that leave me?,2,0031010
Susan,You get to be the baby's father.,0,4000010
Susan,Everyone knows who you are.,0,5000000
Susan,Who am I?,7,2020010
Joey,"Okay, it's a typical New York City apartment. Two girls are just hanging out.",0,5000000
Monica,"Hi, how are you doing Kelly?",0,4100000
Rachel,"I'm doing just fine! God, Tiffany, you smell so great!",1,0400010
Monica,It's my new perfume. Why don't you come closer where you can,0,3200000
Rachel,"Oh, y'know Joey, you are sick!",6,0000113
Monica,This is disgusting!,6,0000005
Rachel,I'm not reading this!,6,0000203
Joey,What?! Wait-wait-wait! The handsome man was about to enter!!,5,0110030
Joey,"All right, I'll give you this, Mr. Peanut is a better dresser.",0,5000000
Joey,"I mean he's got the monocle, he's got the top hat...",0,5000000
Phoebe,You know he's gay?,0,3000020
Ross,I just wanna clarify this: are you outing Mr. Peanut?,0,3000020
Chandler,"Danielle! Hi! Uh- everybody, this is Danielle, Danielle, everybody.",0,4100000
All,Hi. Hi.,0,5000000
Chandler,What are you doing here?,5,2000030
Chandler,"Well, what?",0,4000010
Chandler,What?,0,3000020
Chandler,What is it?,0,5000000
Chandler,That she left you?,5,2000030
Chandler,That she likes women?,0,3000020
Chandler,That she left you for another woman that likes women?,0,3000020
Ross,"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...",4,1000301
Chandler,Then what?,0,4000010
Ross,My first time with Carol was...,0,5000000
Ross,Hi. Where is everybody?,0,4000010
Phoebe,"Oh, its already closed, Chris gave me the keys to lock up-what is wrong?",7,1011020
Ross,"My marriage, I think my marriage is um, is kinda over.",2,0050000
Phoebe,Oh no! Why?,5,0010040
Ross,"Cause Carols a lesbian.  And, and Im not one. And apparently its not a mix and match situation.",2,1040000
Phoebe,"Oh my God! I dont believe it! Oh, you poor bunny.",5,0020030
Ross,Im an idiot.,6,0000104
Ross,"I mean shoulda seen it, I mean Carol and Id be out and shed, shed see some beautiful woman, and, and shed be Ross y'know look at her, and Id think, God, my wife is cool!",7,0020012
Phoebe,"Aw! Hey, do you think that Susan person is her lover?",0,3001010
Ross,"Well, now I do!!",5,1000130
Phoebe,Im sorry.,2,0050000
Ross,Seven years.,2,2030000
Ross,"I mean weve been together seven years, shes the only woman whos ever loved me, and the only woman Ive-Ive ever....",2,1040000
Phoebe,"Aw, God Ross. Oh.",2,0050000
Cookie,Ill do it.,0,5000000
Joey,No you wont.,0,3001100
Joey,"Look he knows he did a terrible thing and I believe him, hes sorry.",2,2030000
Phoebe,"All right, that's it, I quit.",4,0000401
Monica,What? I didn't say anything.,5,0010040
Phoebe,"Yeah, but this  isn't the face of a person who trusts a person.",7,1000112
Phoebe,"Ok, this  is the face of a person who, you know, doesn't trust a person.",7,1010102
Monica,"I'm sorry. I'm sorry, Phoebe. It's just a little shorter than what we had discussed.",7,2020001
Phoebe,Would you relax? I know what I am doing. This is how he wears it.,4,2000300
Monica,Julie.,0,5000000
Rachel,What?!,7,1000121
Monica,Jody!,5,2000030
Rachel,You were with Julie?,0,3010010
Monica,"Look, when it started I was just trying to be nice to her because she was my brother's girlfriend.",0,4000100
Monica,"And then, one thing led to another and, before I knew it, we were...shopping.",0,4000010
Rachel,Oh. Oh my God.,5,0001031
Monica,"Honey, wait. We only did it once. It didn't mean anything to me.",7,2011100
Rachel,"Yeah, right.  Sure!",4,1000400
Monica,"Really, Rachel, I was thinking of you the whole time.",7,2021000
Monica,"Look, I'm sorry, all right.",2,1031000
Monica,I never meant for you to find out!,2,0031010
Phoebe,Hey!,1,1300100
Monica,Yeah!,7,2200100
Phoebe,I cant say.,0,4000100
Monica,Why?!,5,0000050
Chandler,Why not?,7,2010020
Phoebe,I cant say because hes famous.,0,3011000
Rachel,"Oh my God, who is it?!",5,0001040
Monica,"Phoebe, come on, you have to tell us.",7,1101020
Phoebe,"Okay, okay. Its James Brolin. James Brolin is the father of my baby.",7,2201000
Chandler,As in Barbara Streisands husband James Brolin?,5,1000040
Phoebe,What?! Well he never said that to me!,5,0000230
Ross,In,0,5000000
Phoebe,"Oh, this life! Oh okay no, Chandler's is worse.",2,0030110
Joey,"Man, it must be so cool remembering stuff like that! I don't have any past life memories.",7,1210010
Phoebe,Of course you don't sweetie. You're brand new.,0,5000000
Rachel,I know Monica's worst Thanksgiving.,0,4010000
Monica,"Oh, let's not tell this story.",7,1002101
All,"Oh, come on!",7,1001201
Phoebe,"Oh no, I know! I know! It's the one where Joey got Monica's turkey stuck on his head!",7,0200120
Rachel,What?! Joey got a turkey stuck on his head?!,5,0000050
Joey,"Hey, it's not like it sounds.",0,5000000
Chandler,It's,0,5000000
Monica,"Wendy, we had a deal!  Yeah, you promised! Wendy! Wendy! Wendy!",4,0000320
Rachel,Who was that?,0,5000000
Monica,Wendy bailed. I have no waitress.,7,1010201
Rachel,Oh... that's too bad. Bye bye.,7,1120001
Monica,Ten dollars an hour.,0,4000001
Rachel,No.,0,5000000
Monica,Twelve dollars an hour.,0,4000001
Rachel,"Mon. I wish I could, but I've made plans to walk around.",0,4100000
Monica,"You know, Rachel, when you ran out of your wedding, I was there for you.",7,1000112
Monica,"I put a roof over your head, and if that means nothing to you...  twenty dollars an hour.",7,1000202
Rachel,Done.,1,1400000
Joey,"The reactors gonna blow in three seconds, were never gonna make it!",3,0005000
Phoebe,Youve got to get out of here! Save yourself!,3,0005000
Joey,No! I wont leave you!,3,0014000
Phoebe,"Dont worry about me, Im a robot! Im just a machine!!",7,2011010
Joey,No youre not! Not to me!,7,0021020
Phoebe,Oh my God.,7,1001021
Joey,What?,0,3000011
Phoebe,I am,0,5000000
Joey,"Yeah, youre great! Okay, lets take it from",1,0500000
Phoebe,"No, I mean I was really acting my ass off.",7,0200120
Joey,"Yeah, I thought I was pretty good too.",1,1300001
Phoebe,"Oh yeah, youre solid. Yeah, youre just no me.",0,3100100
Joey,Yknow what? I think thats enough for now. Yeah. I dont want to be over rehearsed.,0,4000100
Phoebe,Fine!,4,0000311
Phoebe,Ill do it without you!,4,0000401
Phoebe,I dont need you or anybody else!,4,0000302
Phoebe,Im gonna make it on my own!,4,0100400
Phoebe,Youll see!!,4,0100400
Phoebe,Youll,0,4000100
Kori,I can't believe that Ross is gone. It is just so sad.,2,0050000
Chandler,I didn't know Ross and you were so close.,5,1000040
Kori,We weren't but we had one class together. He was such a great    guy and he talked so passionately about science. I always remembered him.,2,1130000
Chandler,I'm sure that would mean a lot to him.,0,4010000
Chandler,"And if heaven has a    door, I'm sure he's pressing his ear up against it and listening intently.",0,3110000
Kori,I thought so many times about calling him and asking him out.    I guess I really missed my chance.,2,0050000
Ross,But you didn't!,1,1400000
Ross,I'm still alive!!,1,0500000
Ross,"Kori, I know this is a big surprise for you.",1,2300000
Ross,It's a long story but the things    you just said really made my day!,1,0500000
Ross,"I mean, the fact that you are here means more    to me than if this room were filled with people!",1,1400000
Kori,"You sick freak, who does that? I can't believe I had a crush on    you!",4,0000302
Ross,Did you hear that? Kori Weston had a crush on me!!,7,0200120
Dr. Long,Well do a quick check.,0,4000100
Rachel,Okay.,0,5000000
Dr. Long,"So, eight days late huh?",5,1000040
Rachel,Yeah.,0,4001000
Dr. Long,You must be a little uncomfortable.,0,4000010
Rachel,"Eh, just a tad.",0,4000100
Dr. Long,"Youre about 80 percent effaced, so youre on your way.",0,5000000
Dr. Long,It still could last a little while longer.,0,5000000
Dr. Long,If youre anxious there are a few ways to help things along.,0,5000000
Ross,Do them!!,7,2000210
Dr. Long,"Actually, theyre things you can do. Just some home remedies, but in my experience Ive found that some of them are quite effective.",0,5000000
Rachel,"Well, we are ready to try anything.",0,4000100
Dr. Long,"Okay, theres an herbal tea you can drink.",0,5000000
Rachel,Okay.,0,5000000
Chandler,What is wrong with Emma?,7,1002020
Monica,"Oh she misunderstood, she thought she was moving to Tulsa.",0,5000000
Carol,Anytime you're ready.,0,5000000
Ross,"Ok, ok, here we go.",0,4001000
Ross,"Ok, where am I talking to, here?",0,4000010
Ross,"I mean, uh, well, there is one way that seems to offer a certain acoustical advantage, but...",0,5000000
Carol,Just aim for the bump.,0,5000000
Ross,"Ok, ok, ok, ok, here goes.",0,4001000
Ross,"You know, I, you know, can't do this.",3,1103000
Ross,"Uh, this is too weird.",6,0002003
Ross,I feel stupid.,2,1030001
Carol,"So don't do it, it's fine. You don't have to do it just because Susan does it.",0,4000010
Ross,"Hello, baby. Hello, hello.",1,2300000
Rachel,Hello!,1,1300010
Mark,"Oh, hi. Its Mark.",0,5000000
Rachel,Oh.,0,5000000
Mark,What? Is it my breath?,3,1003010
Rachel,Ow!,5,0000140
Ross,Rach?,0,5000000
Rachel,Ow! Ow!,5,0001130
Ross,Easy. Easy. You have to go to the hospital. Okay?,3,1003010
Rachel,"Okay, I do.",0,3020000
Ross,Okay.,0,5000000
Rachel,I really do.,7,2012000
Ross,"Okay, Im gonna get your coat and then Ill-Ill put you in a cab.",0,4001000
Rachel,"Okay. Oh wait, wait-wait, youre not gonna come with me?",7,1002020
Ross,Of course I am. I just have to make a call.,5,2000030
Rachel,Okay.,0,5000000
Ross,Okay?,0,5000000
Rachel,Thank you.  Oww!!!! God!,5,0000131
Ross,"What?! I wh-, whats wrong?",7,1002020
Rachel,"Im sorry, I just cant go to the hospital lookin like this.",6,1000103
TV Announcer,"Pete Becker is circling the ring now. It looks like, hes just trying to feel him out. Oh, Bruiser is just...",0,3101000
Chandler,"Run! Run you crazy, rich freak!",3,0003200
Rachel,"Oh, I cant watch this.",3,0005000
Joey,"Check it out, hes winning!  Petes winning!",5,0200030
Monica,Really?!,5,0100040
Joey,No-o-o!!,3,0013100
TV Announcer,"Uh-oh, Bruiser has Becker on the canvas and is going for his favourite area.",3,0004010
All,Oh! Oh!,7,1002020
Phoebe,"Wait, if thats his favourite area, why is he being so mean to it?",5,0010040
Ross,"Well, this is ironic.",5,2000030
Ross,"Of your last two boyfriends, Richard didnt want to have kids, and from the looks of it, now Pete cant.",0,3000020
Joey,"Dude, you dont have to brag! We got nothing here!!",4,0010310
Chandler,Should we tell Rachel theres an empty private room right next door to hers?,0,3000020
Monica,"We could, or we can have sex in it.",1,2300000
Chandler,"Well let me think about that, while I remove my pants!",1,0500000
Rachel,I thought I was a complete idiot.,7,1100021
Joey,"Hey, Im with you. He even asked me if I thought youd go out with him.",0,4000010
Rachel,"Oh! Oh, I think Im gonna throw up a little bit. What did you say?",6,0001013
Joey,I said no.,0,4100000
Rachel,What?!,5,0000050
Joey,What? II just figured since youre pregnant youre not gonna be seeing people.,5,1000040
Rachel,"Okay Joey, first of all Kash Ford is not people. Second of all, what did he say when you told him I was pregnant?",4,0000320
Joey,I didnt tell him. I didnt know if you were telling people. This is back when I thought Kash was still people.,7,2002010
Rachel,"Good-good, dont tell him. Dont tell him. Just have him call me okay?",7,1210100
Joey,"Rach look, I really dont think thats such a great",2,2030000
Rachel,"Okay, you go do it! Ill come back to that set! Ill meet more actors! Ill meet em all!",1,0300110
Rachel,"Ohh, here you are. I was looking for you before. Joshuas gone so you and Emily are free to go.",0,4000010
Ross,Thats okay.,0,5000000
Ross,"Shes still in there enjoying her fake party and uh, its too late to do any of the things I had planned, so",0,3010100
Ross,Ah! Ah! I forgot my jacket!,4,1000310
Rachel,"Oh, wait-wait-wait",0,4001000
Ross,You tell them to wait!,4,0001400
Rachel,Okay. Wait! Wait!,0,3001100
Ross,Emily.,0,5000000
Ross,Oh no-no-no! Oh-no!  No! No! Emily!,4,0001310
Monica,Hey. Call me when you get there. Okay?,0,5000000
Rachel,Okay.,0,5000000
The Hot Girl,I know. You're the guy who wouldn't chip in for the handyman.,7,1000202
Ross,Nevermind!,4,1010300
The Hot Girl,"No, I-I actually thought it was unfair the way everyone reacted. I mean you had just moved in.",0,3000002
Ross,I,0,5000000
The Hot Girl,Jen.,0,5000000
Ross,"Jen, I know this may sound a little But uh, would you maybe wanna grab a cup of coffee sometime, or",0,4001000
Jen,Sure! That would be nice.,1,0500000
Ross,Umm?,0,5000000
Jen,Oh! My number is on there.  Give me a call.,7,1200020
Ross,I will give you a call.,0,4100000
Jen,I'll see you later.,0,5000000
Ross,Okay!,1,0300020
Jen,I forgot my paper.,0,5000000
Chandler,"Here we go. Okay, brace yourselves.",0,3002000
Monica,What?,0,3000020
Rachel,Okay.,0,5000000
Monica,Ow!,5,1001030
Phoebe,Arent you gonna go?,0,3000020
Rachel,No. Thank you.,0,3000002
Monica,"No, Rachel never pees in public restrooms.",0,4000001
Rachel,"Well, they never have any paper in there y'know. So my rule is no tissue, no tuschy.  Well, if everybodys going.",0,3000002
Phoebe,"No, y'know what dont close it  cause the... keys...are in there.",0,4000010
Chandler,"Oh, no-no-no-no-no-no!!",3,0003110
Joey,Whats going on?,0,3000020
Chandler,My lighters in there!,3,1003010
Rachel,I promise.,0,5000000
Phoebe,"Although, dont feel like you cant visit.",0,5000000
Joey,"Hey, is, is, is Chandler here?",0,5000000
Ross,"No, no hes not.",0,5000000
Monica,"You guys, Joey just saw Janice kissing her ex-husband.",5,0010040
Ross,"What?  So what are you going to do? I mean how, how are you going to tell Chandler?",5,2000030
Joey,"Well, I was thinking about that and I, I think the best way would be, to not.",0,4001000
Rachel,"Joey, you cant keep this to yourself, if you know about this, you have to tell him.",0,4000010
Joey,"Itll kill him. I mean itll, itll just kill him.",7,1020101
Phoebe,"Well, you could wait til I go to the dentist, maybe",0,5000000
Carol,Hi!,1,1400000
Ross,Hey.,0,4100000
Carol,"Hey, what are you doing here?",0,3000020
Ross,"Well, oh just ah, I was just wondering, when you and I split up, did you get the tape that was half the last episode of",0,4001000
Carol,"Ah yeah, but now its Susan and me in Mexico and the hostages coming home.",0,4010000
Ross,Wheres Ben?,0,3010010
Carol,Hes sleeping.,0,4010000
Ross,"Ahh.  Ooh, is this a ah, is this a bad time?",5,2000030
Carol,"Umm, yeah, actually, Susans gonna be home any minute, its kinda an anniversary.",7,2200010
Ross,"Oh! I thought you guys got married in uh, January?",5,0000050
Carol,Its not that kind of anniversary.,0,4100000
Ross,Ah!  Oh.,5,2000030
Carol,Sooo!! Anyway...,0,3000020
Monica,Where are we gonna find a tiny little hat?,0,3100010
Rachel,"Oh, oh, oh, Ill get Rainy Day Bear!!",1,0400010
Monica,"Because hell know what to do?  Oh my God, youre a genius!",1,0400010
Rachel,"Oh God, oh God, its sowed on though.",7,2100020
Monica,Give it. Give it.,0,3000110
Rachel,Okay.,0,4001000
Monica and Rachel,Oh!!,5,0000050
Rachel,"Oh, its just like a bloodbath in here today.",7,0120002
Ross,Please. This is so your fault.,4,1000400
Susan,"How, how is this my fault?",5,1000130
Ross,"Look, Carol never threw me out of a room before you came along.",4,1000400
Susan,"Yeah? Well, there's a lot of things Carol never did before I came along.",4,1000400
Ross,You tryin' to be clever? A funny lady?,4,0000500
Susan,You know what your problem is? You're threatened by me.,4,1000400
Ross,"Oh, I'm threatened by you?",4,1000310
Susan,Yes.,4,2000300
Phoebe,"Hey, hey, ok, all right, that's it!",4,1000310
Phoebe,Get in here.,4,2000300
Phoebe,Come on.,0,3000200
Phoebe,"My god, you guys, I don't believe you.",7,2000201
Phoebe,There are children coming into the world in this very building and your negative fighting noises are not the first thing they should be hearing.,4,1000301
Phoebe,"So just stop all the yelling, just stop it!",4,0000401
Ross,"Yeah, Susan.",0,3000200
Phoebe,"Don't make me do this again, I don't like my voice like this.",4,1001300
Phoebe,"Ok, who wants to hear something ironic?",0,5000000
Phoebe,"Oh! Here it is!  Ooh, Joey! Why did you sign it, ""Son of a bitch?""",5,1000130
Joey,I didnt do that! Who wouldve done that?!,5,0000230
The Dry Cleaner,Son of a bitch!,4,1000400
Phoebe,"Okay, maybe ask this guy.",0,5000000
Joey,"Oh, did I not mention? Carl is a guy I hired to be my identical twin for a medical research project.",0,5000000
Chandler,"Yknow sometimes the good ideas are just right in front of you, arent they?",7,2000021
Joey,"Okay, I know it sounds crazy, but I think it might work. Yknow? The only problem is, Carls acting is",0,5000000
Monica,The,0,5000000
Joey,"Yeah, hes the reason I didnt get that big",0,4000100
Carl,"Hey, uh can I get a little piece of that cake?",0,5000000
Joey,Pizza!! We like Pizza!! Get out!!!,4,0000500
Waitress,"Hey Monica, theres a customer who wants to complement the chef, should I let him in?",0,4100000
Monica,"Sure, I love this part!",1,0500000
Waitress,Come on in.,0,5000000
Joey,"Really? In the moment, I really wanted to kiss you too. In the moment.",1,0300020
Janine,"In the moment, yeah.",0,5000000
Joey,But only in the moment. So do ya wanna kiss again?,7,1200020
Janine,"Sure, New Years Eve is only two weeks away. Can you wait?",0,4000010
Joey,No.,0,3200000
Janine,Me neither.,0,3200000
Joey,"3, 2,",0,4100000
Janine,"Joey, you dont have to count down every time we kiss.",7,1100021
Joey,"Uh, yeah, okay. Except I sorta felt like I needed a couple of seconds to get ready.",7,2100020
Rachel,Wow... Wow!,5,0000050
Barry,Yeah.,0,5000000
Monica,Alright. Phoebe?,0,4000010
Phoebe,"Okay, okay.",0,4000100
Phoebe,"If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!",1,1400000
Ross,"Yeah, see.. you took mine. Chandler, what about you?",0,3000110
Chandler,"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",0,4000001
Rachel,"See, there's always one guy.  ""If I had a wish, I'd wish for three more wishes.""",6,1000004
All,"Hey Joey. Hi. Hey, buddy.",0,4100000
Monica,"Hey, Joey, what would you do if you were omnipotent?",0,4000010
Joey,Probably kill myself!,7,2000102
Monica,..Excuse me?,5,1000040
Joey,"Hey, if Little Joey's dead, then I got no reason to live!",2,0030011
Ross,"Joey, uh-",5,1001030
Joey,You,0,4100000
Kate,Im sorry.,2,0050000
Stage Manager,"Joey, onstage!",7,2100110
Joey,Well can you at least stay to the end of the play?,2,1031000
Joey,"I mean, Ill go to the airport with ya, I-I wanna say good bye.",2,0050000
Lauren,Where are you Vic?,0,3002000
Kate,Flights in an hour. I-I gotta go.,2,1040000
Lauren,Vic! Vic!,7,1001111
Joey,In a minute!!,4,1000301
Lauren,So this is it? Victor?,2,1040000
Joey,"Yeah, I guess it is.",2,1040000
Joey,"Listen, I ah, I gotta say good bye, and-and I gotta say it quick cause this is killing me.",2,0050000
Joey,"One thing you gotta know, is that I will never forget you.",2,0050000
Joey,"But, youve got things you have to do now, and so do I.",2,1040000
Joey,"And so Im gonna get on this spaceship,  and Im gonna go to Blargon 7 in search of alternative fuels.",2,2030000
Joey,"But when I return, 200 years from now, youll be long gone.",2,1040000
Joey,But I wont have aged at all.,0,4010000
Joey,"So you tell your great-great-granddaughter to look me up, because Adrienne, baby, Im gonna want to meet her.",0,3110000
Lauren,"So long, Vic!",2,0040001
Ross,I have to say,0,5000000
Rachel,Nooo Way! The most romantic song ever is,7,1210010
Phoebe,"See, I-I think that one that Elton John wrote for, um, that guy on",0,3011000
Rachel,"What song was that, Pheebs?",0,4000010
Phoebe,Hi Monica!,1,1400000
Ross,Hey Mon!,1,1400000
Rachel,Hey Mon!,1,1400000
Phoebe,"Oh my God, has she slept at all?",5,0000050
Ross,Nope.,0,3020000
Rachel,"No, it's been three nights in a row.",0,4010000
Ross,"Yeah, she finally stopped crying yesterday, but then she found one of Richard's cigar butts out on the terrace, so.",0,3020000
Phoebe,"Oh, okay that explains it.",0,3010001
Phoebe,"I got a call at two in the morning, but all I could hear was, like, this high squeaky sound, so I thought okay its like a mouse or a opossum.",0,3010001
Phoebe,But then I realized where would a mouse or a opossum get the money to make the phone call.,7,1010012
Chandler,"So uh, man, are you gonna go to the play with me tonight?",0,4001000
Ross,"Yknow what, I dont know how comfortable I am going to see how hot the sex is between some guy and your girlfriend.",6,0000005
Chandler,"Yeah, I know but",0,3020000
Ross,"Oh no-no-no, Im there.",0,3200000
Monica,Hey!,5,0100031
Joey,Hey Mon! Want some pancakes?,1,1400000
Monica,You made pancakes?,5,1100030
Joey,Yep! Grab a plate.,1,0500000
Monica,Okay.,0,4001000
Joey,"No-no, stay right there.  Gettin closer.",0,4001000
Chandler,"Okay, okay, but dont worry, because we also have cereals, muffins, waffles,",0,4100000
Joey,"Listen also were uh, were watching the game here Saturday night, if people want to come over.",0,4001000
Ross,Oh yeah!,1,0400010
Chandler,"Yes, if the foxhole was lined with sandwiches.",0,5000000
Joey,"Yeah, hero sandwiches.",0,5000000
Phoebe,Well you all know that I'm a pacifist so I'm not interested in war in any way.,0,3001001
Phoebe,But y'know what?,0,5000000
Phoebe,"When the revolution comes, I will have to destroy you all.",0,3100100
Phoebe,Not you Joey.,0,5000000
Chandler,Oh my good God.,5,1000040
Monica,"Hey! Continuing the countdown of your favorite meals. Tonight, No. 3, macaroni and cheese with cut up hot dogs.",0,3200000
Chandler,"Look, you have done enough! Okay? You have to stop this now.",4,0100310
Monica,"I will! But not tonight. For dinner music, I thought we could listen to that tape you made me.",1,2300000
Chandler,"Oh, the mixed tape.",0,4000010
Monica,The Way You Look Tonight,1,2300000
Monica,You are just the sweetest.,1,2300000
Chandler,No! Youre the sweetest!,1,1400000
Monica,Hey!,1,0500000
Phoebe,Hey!,1,0500000
Monica,"Hey, guess what Im doing tonight.",0,5000000
Phoebe,What?,0,4000010
Monica,Im checking out the restaurant with Pete.,0,5000000
Phoebe,"Ohh, Monica, I am so excited for you.",1,0500000
Phoebe,Wait-wait-wait! Wait!!,7,0100220
Ross,"So honey this uh, this threesome thing umm, I mean how-how are you gonna start to find",0,4001000
Carol,"Ooh, actually Ive been making a list of all the women I know who might be into doing this!",1,1300010
Ross,"Oh.  Wow!  Huh.  Boy!  Well, someones been doing their homework.",5,0100040
Carol,"Yeah. Ooh, and I know Gail Rosten is in there twice, but she is so",0,3200000
Ross,"Oh, I know.  Yknow, just-just talking about it is getting me kinda",0,3100010
Carol,"Oh, me too.",0,4100000
Ross,"and then, we couldve gone from the ceremony to the reception with you in the sidecar!",1,0400100
Rachel,"Ross, it just wouldnt have been feasible.",0,4010000
Ross,But having a dove place the ring on your finger wouldve been no problem?,7,1000121
Rachel,It was really fun being married to you tonight.,1,2300000
Ross,"Yeah! And! And, it was the easiest 400 bucks Ive ever made.",1,0500000
Rachel,"Okay Ross, can I uh, can I ask you something?",7,2002010
Ross,Yeah.,0,5000000
Rachel,"That proposal, at the planetarium",0,3101000
Ross,"I know, I know it was stupid.",2,0041000
