class_names,sentences
-1," Okay, so she's not ugly; she's just fat. "
0, She weighs 98 pounds.
-1," Okay, she's not fat. So what's the problem with her? "
0, Who said there is a problem with her?
-1, The problem is she has no problems. she's too good for me! 
0, Do you enjoy going on dates?
1, Yes. I find dates to be a lot of fun.
0, What's so fun about them?
1, They give me the opportunity to get to know someone better.
0, So you always have fun on dates?
-1, Not always. I don't always like the person I'm on the date with. 
0, Why not?
0, My date may not be my type.
0, So then why would you ask them out in the first place?
-1, I didn't realize until after our date that they weren't my type. 
-1, Sounds like a huge waste of time to me. 
-1," Now that I think about it, it really is sometimes. "
0, Do you like dating?
1, It's really a lot of fun.
0, What makes it so much fun?
1, It makes it easier to get to know somebody.
0, Are dates always fun to you?
-1, Sometimes I may not like the person I'm having a date with. 
0, Why is that?
0, The other person isn't always my type.
0, Why would you bother going out with them then?
-1, I didn't know that they weren't my type until after I got to know them better. 
-1, It seems to me that you're wasting your time. 
-1," You are absolutely correct, sometimes it is a waste. "
0, Are dates fun for you?
1, I enjoy dating a lot.
0, Why are they so fun for you?
1, Dates allow me to meet new people.
0, Do you have anything for a little girl?
0," Well, we have some new Barbie dolls."
1, That's a great idea. Show me the Barbie dolls.
1," Here's one -- the new, beautiful Digital Barbie. This doll is hot!"
1, How lovely! How much is she?
0, It's only $29.95.
1, No problem. Let me have one.
1, That's great. Anything else?
1," No, thank you. That's all I need at the moment."
0, The grand total is $32.42. How would you like to pay?
0, I'll give you cash.
1, Thank you so much for shopping here. Here's your change and receipt.
1, I think you're very pretty.
1, Thank you.
0, Would you have dinner with me?
1, I would like to.
0, Can I pick you up Friday night?
0, What time?
0, Eight o'clock.
1, That sounds great.
0, We'll go to a French restaurant.
0, I've never been to a French restaurant.
1, I think you'll love the food.
-1, I'm not going to eat any snails! 
0, Can I ask you a question?
0," Sure, what's up?"
0," Well, I was just wondering if you'd like to go out this Friday."
0, Really?
0," Yeah, I was thinking we could get a bite to eat and catch a movie."
1, That sounds like fun.
0," Of course, we can do something else if you'd like."
1," No, no, dinner and a movie sounds great."
0," Well, what time would you like me to pick you up?"
0, How about 7:30?
1," That sounds good, so I'll see you then."
1," Okay, cool."
0, May I ask you a quick question?
0, Of course.
0, How would you like to go on a date with me this Friday?
0, Seriously?
0," Well, I figured that we could go see a movie and get some dinner."
1," Cool, that sounds like it will be fun."
0, We can always do something else if you'd rather.
1, Not at all. I would love to go to dinner and a movie.
1," That's great, so what time do you want me to come get you?"
0, Is 7:30 okay?
1, Friday at 7:30 sounds perfect.
1, Great. See you then.
0, Can I ask you something?
0, Sure you can. What's going on?
0, Would you go out with me on Friday?
0, Are you for real?
0, I thought that we could go to dinner and a movie.
1, That actually sounds like it would be a lot of fun.
0, Unless there's something else you would prefer to do.
1," Actually, I would really like to go to dinner and a movie."
0, What time do you want me to come by and pick you up?
0, Is 7:30 cool with you?
1," That's perfect, so I'll see you then."
1, Perfect. I will see you on Friday.
1, You have pretty eyes.
1, Thank you. So do you.
1, I wish my eyes were blue.
0, What's the matter with green eyes?
0," Nothing, except my favorite color is blue."
0, Maybe in your next life you'll have blue eyes.
0, But what if I'm a fish in my next life?
0, I think some fish have blue eyes.
0, I hope I don't come back as a fish.
0, I hope I come back as a cat.
1, Cats have beautiful eyes.
1, I would love to have blue cat eyes.
0," Hey NAME, how are you?"
1," I've been doing well. How are things with you, NAME?"
1, Things are good with me also.
0," NAME, I was looking in the paper at the new movies coming out. Do you enjoy movies?"
0," Yes, I go all the time."
0, I was hoping that you and I could maybe spend a Friday evening together. I was wondering if you would like to go with me this Friday to see a movie and get a bite to eat afterwards.
1, I would love to go out with you on Friday.
0, Do you have a certain movie that you would like to see?
0, I've heard a lot of things about the movie Australia.
1," You know, I was thinking that that would be a good movie to go see together. Would 7:00 be a good time to pick you up?"
1, Seven o'clock would be perfect!
1," OK, I'll pick you up at 7:00 then."
1, I love you.
1," I love you, too."
1, I loved you the first day I saw you.
0, It was love at first sight?
1," Yes, it was love at first sight."
0, I didn't love you at first.
0, I know. I had to chase you for a while.
0," Yes, you chased me and then you caught me."
1, Now you're mine forever.
1, And you're mine forever.
1, We'll grow old together.
1, And be happy together.
0," Hi, are you NAME?"
0, I am NAME. You must be NAME.
1," Yes, that's me!"
1, It's so good to finally meet you. NAME has told me so much about you!
1, I hope that she had good things to say about me!
1, She had only good things to say. Did you have trouble finding me?
0," Well, how many beautiful women in a red dress by the fountain are there?"
1, Thank you for the compliment!
0," So would you like to go get a bite to eat, NAME?"
1, That sounds perfect. Lead the way!
0," Hi, I am looking for a woman named NAME."
0," I think I am who you are looking for. You have got to be NAME, then."
1, That would be me!
1, NAME! NAME and NAME have spoken about you so often that I feel like I've met you before.
1, I hope that what they had to say was mostly good!
1, They only said wonderful things about you. You did a good job of finding me.
1, Finding the beautiful woman in a red dress next to the fountain wasn't all that hard.
1," Yes, I guess it was a choice of me or the pigeons!"
1, I was hoping that we could take a walk down the street to my favorite cafe.
1, Lunch sounds great! Let's head on out!
1, I'm in love with that girl.
0, Have you told her?
0, Of course not.
0, Why not?
-1, She would laugh at me. 
0, How do you know?
0, Because they always do.
0, Maybe she's different.
-1, They're all the same. 
0, Just ask her out to dinner.
0, And then what?
0, And then she'll know that you like her.
1, I want to get something nice for my niece.
1," Well, I've never heard of a little girl that didn't love Barbie dolls."
1," I like that suggestion. Show me one, please."
0, Here you go. Digital Barbie.
1, My niece will love her! How much for her?
1, Barbie is our best seller. She's only $29.95.
1, That's great. I'll take her.
1, Your niece will love this. Anything else?
1," Thank you, but no. This will do it for now."
0," With the tax, your total is $32.42. Would you like to charge it?"
1," I'll pay cash, thank you."
1, Thank you for shopping here.
0," Hi NAME, this is NAME."
1," NAME, good to hear from you!"
1, I just wanted to tell you what a great time I had with you at the movies last week.
1," Me too, NAME! Thanks for suggesting that great movie."
1, I also enjoyed it and was wondering if you would like to go for a hike in the mountains with me on Saturday.
1, I would love to join you on a hike. Could I maybe bring a picnic lunch for us to eat on the trail?
1," Sure NAME, that's a great suggestion."
0," Fine then, what time are we going to leave?"
0," I was thinking maybe 9:00 or so, so that we could get started before the heat gets too bad."
1, Nine would be perfect. I'll see you then!
0," NAME, this is NAME calling."
1," NAME, I am so happy you called!"
1," NAME, I wanted to tell you how much I enjoyed our time together last Friday night."
1," Boy, NAME, that was one great movie you picked out! Thanks for asking me to go with you!"
1, I had a great time too and was thinking that maybe you might want to join me for a hike to the waterfalls on Saturday.
1," A hike would be great! Let me pack us a nice picnic lunch, OK?"
1," NAME, that would be a perfect addition."
0," I'll take care of the lunch then, and you can take care of the other plans. What time would you like to pick me up?"
1, I was hoping to leave by 9:00 so that it won't be too hot for the hike.
1, Nine is a great time to get started. I'll see you on Saturday!
0, Give me a hug.
-1, I'm not in the mood. 
0, What's the matter?
-1, I saw you looking at that woman. 
0, What woman?
0," You know, that woman with the big boobs."
0, I was not looking at her.
0," You were, too."
-1, I'm not interested in her. 
0, Then why were you looking at her?
0, I was looking at something else.
-1," Oh, really? Then spend tonight looking at the sofa. "
0," NAME, I was talking to the travel agent about where we might be taking our vacation this year."
0," I am going fishing in Alaska with my friend, NAME."
0, What are you talking about?
0, What's wrong with heading out with NAME for vacation?
-1," You and I have been together for a whole year, and our vacation time should be about the two of us! "
-1, Really? Who made that rule up? 
-1," With that attitude, I don't really think we have much more to discuss here. "
-1, That works for me! 
0," NAME, I was looking through some magazines for ideas about where we might go on vacation this year."
0," I've already told my buddy, NAME, that I am going hunting with him in Alaska."
-1, You can't be serious! 
-1," Hey, I've always gone hunting or fishing on vacation. I am sorry that bothers you. "
-1," After a year together, I thought it pretty safe to assume that we would automatically spend our vacation together. "
-1, Says who? I don't think that is necessarily the case. 
-1," You know, now that I think about it, I really don't have much more to say to you at all! "
-1, Whatever you say! 
0, Would you like to go on a blind date?
-1, You must be joking. 
1," No, I'm serious."
-1, I don't want to date a blind woman. 
-1, A blind date doesn't mean that she is blind! 
0, What does it mean?
0, A blind date is a date with someone you don't know.
0, Why would I date someone I don't even know?
1, To try something new and exciting.
0, What if I don't like her?
0, Then you don't date her again.
-1, Sorry. I cannot follow you. 
0," NAME, how are you doing?"
1," I am great! How about you, NAME? How are you?"
1," I am doing great! Thank you for asking, NAME."
0, I was wondering if you want to go see a movie with me tonight?
0, I need to stay home tonight and finish my term paper.
0, OK. What about going to the movies on Friday night?
0, What were you planning on seeing?
0, I was thinking about seeing that one about the rapist serial killer.
0, How about The Secret Life of Bees?
-1, That's a chick flick! 
0," Hi NAME, how are you doing today?"
1," Things are going good today. How have you been doing, NAME?"
1," Things are going well for me, NAME."
0, Want to go see a movie tonight?
0, My parents are taking me to dinner tonight.
0," Could you go with me to the movies on Friday night, instead?"
0, What movie did you want to see?
0, There is a new horror flick about a rapist serial killer.
1, I was thinking that I would like to see The Secret Life of Bees.
1, Oh great! Sounds like something I need to bring Kleenex to!
0, I have a date tomorrow night.
0, Really? Who with?
0, A girl I met at the market.
0, You met a girl at the supermarket?
0, She was standing behind me in a really slow line at the checkout counter.
0, What did you say to her?
0," I had two pineapples in my cart, and she asked where I had found them."
0, She asked you about your pineapples?
0," I told her I had gotten the last two on the shelf, but I offered her one of mine."
1, That was nice of you.
0," She asked me how she could return the favor, so I asked her out."
1, Sometimes a slow line can be a good thing.
0," Hi NAME, it's NAME here."
0," Hi NAME, how are you doing?"
1," I'm doing well, and you?"
1, Everything is going great.
0," NAME, would you be interested in going to dinner again this Friday?"
-1," NAME, I had a good time too, but I am getting ready to move back to the east coast, so I think I shouldn't get too involved right now. "
0," Well, we could just go out as friends."
1," Right now, I think I need to really focus on matters at home, but thanks for a nice evening."
1, Can you help me find a nice gift for my young niece?
1," Barbie dolls are quite popular, you know."
1, You're right. Girls love Barbie. Show me a Barbie doll.
1, Take a look at the newest Barbie -- Digital Barbie.
1, She's beautiful. What's the price for Digital Barbie?
0, Our regular price for Digital Barbie is $29.95 plus tax.
1," Only $29.95? I'll buy it, of course."
0, Another one sold. Do you see anything else you would like?
0," Thank you, but no. This will do it for now."
0, Tax brings your total to $32.42. How would you like to pay?
0," Cash, please."
1, Here's your change. Thank you.
0," Hi NAME, this is NAME."
0, Hello NAME. How are things going for you?
1," Great, how are you?"
1, Fine. Everything is just fine.
1," NAME, I had a great time the other night and was wondering if you would like to go out again this weekend."
-1," NAME, I enjoyed your company, but I am getting ready to graduate soon. I really need to focus on my studies. "
0, Maybe I could help you with what you need to get done.
1," It would be better for me to just deal with getting my work done, but thank you for a lovely dinner."
0, Did you have a date Friday night?
0," Yes, in fact, I did."
0, Who did you go out with?
0, A man I met in a coffee shop.
0, Where did you go?
1, We went to a nice restaurant.
0, Anywhere else?
0, Then we went to a jazz club.
1, That sounds like a nice date.
1," Yes, it was pleasant."
-1, But you won't date him again? 
-1," No. He was nice, but there was no chemistry. "
-1, I had the worst date the other night. 
0, What happened?
-1," First of all, he was half an hour late. "
-1, That's not a good start. 
-1, Then he didn't bother to apologize. 
-1, That's rude. 
-1, Then he drove too fast to the restaurant. 
-1, That's dangerous. 
-1, I thought about getting out and taking a taxi home. 
0, What happened at the restaurant?
-1," We had a $40 meal, and he left a $1 tip! "
-1, I guess you can't go back to that restaurant. 
-1, I don't like that man. 
0, Why not?
-1, He's a dirty old man. 
0, What do you mean?
-1," He's old enough to be my father, yet he asked me out. "
0," Well, you can't blame a man for asking."
-1, He should act his age. 
0, Does your girlfriend ever make you angry?
0, Sometimes.
0, What does she do?
1," Just yesterday, I told her I wouldn't trade her for all the money in the world."
1, That was a nice thing to say.
0, That's what I thought.
0, What did she say?
-1, She laughed! She didn't believe me. 
-1, That wasn't very nice of her. 
-1, She said that nothing is more important to me than money. 
0, What did you say?
1, I told her I wouldn't trade her for any other woman in the world.
0, Some people have good noses.
-1, I wish I had a good nose. Mine is way too big. 
0, I don't mean good looking. I mean good smelling.
-1, Oh. But that can be a curse. 
0," Yes, because you can be too sensitive to odors."
0, I'll say. My girlfriend has a nose like a drug dog.
0, Did she catch you using drugs?
0, Sort of. She knows whenever I sneak a cigarette.
0, You don't need a good nose for that cigarettes stink.
-1," But when I sneak just one cigarette in the morning, she can smell it that evening! "
0," Boy, that is a good nose."
0, I told her she should apply for a job at customs.
-1," NAME, what's wrong? Why do you look so sad? "
-1," Mom, NAME is moving away. "
-1," Oh, I'm sorry to hear that. Why is she moving? "
0, Her dad got a job in another state.
0, Where is she moving?
0, To California. That's across the country.
0," There are many ways you can still keep in touch. You can e-mail, text, and call each other on the phone."
-1, But it won't be the same as seeing each other every day. She is my best friend. I'm going to miss her. 
0, I know you will. When are they moving?
0, At the end of June when the school year ends. In two months.
0, Would you like to invite her over this weekend? You can have a sleepover.
1," Yes, please. That would be great. We're going to try to hang out as much as possible before she moves."
1, That sounds like a good plan.
1," Yes, it is a good plan!"
0, Hi NAME. Our daughter is graduating from college this week.
1," That's wonderful, NAME! What did she study?"
0, Nursing.
1, That's a great field. My mom was a nurse.
0, My mother was a nurse too.
1, She must be so proud of her.
1," Yeah, she is. We are all proud of her."
0, Does she want to work in a hospital?
0, Yeah. She got a job at the hospital already.
1, That's great!
0, Are you doing anything special to celebrate?
1, We bought her a new car.
1, Wow! That's an awesome gift!
0, I know. Her current car is so old. We want her to have a reliable car since she will be working late hours.
1, That's smart.
0, When does she start working?
0, In a month.
0, What is she going to do for a month?
0, She's going backpacking with a friend in Europe.
1, How fun! She's an adult now.
0, I know. Kids grow up too fast.
0, Hi NAME. What are you doing today?
0, Hi NAME. My daughter has a soccer game at 11 am.
0, Today? It's going to rain all day.
0, Yeah. She plays in the rain too.
0, They don't cancel games if it rains?
-1," No, only if there's a storm. "
1," Wow! But, I bet it's fun to watch."
1, Yes. We love it. She's the goalie. She's really good.
0, How long has she been playing?
0, Seven years. She wants to get a scholarship to college.
1," She's a smart girl! Did you play soccer, too?"
1," I played a couple of years in high school, but she is much better than I was."
-1, This job is going nowhere. 
0, What do you want to do?
0, I need to expand my contacts and meet new people.
0, I think more companies are hiring now.
0, What's the best way to network?
0, Volunteer at organizations and attend the company events. You'll meet lots of people in the same industry.
1, Good idea!
0, Can you tell me where the pots and pans are?
0, Pots and pans are right over there.
1," Oh, thank you."
0, Could I interest you in our store credit card?
0," No, thanks. I already have credit cards."
1, But our credit card saves you 10 percent.
1, That's a nice discount.
1, Here. Let me give you an application form.
0," Thank you, but I'm just browsing today."
1, Okay. Enjoy your browsing.
0, Are you done with your part of the presentation?
0," No, not yet."
0, Tomorrow is the deadline.
-1, I've been busy. I'll finish it tonight. 
-1, Your co-workers always have to do your work. 
-1, I'm sorry. I just work slowly. 
-1, You just don't care. You never help the team. 
0, What do you want me to do?
-1, Do you share of the work! 
-1, I have a very difficult customer on the phone. 
0, What is the problem?
0, The customer wants a full refund on something she purchased over a year ago.
0, We only give a refund within 30 days of purchase.
-1," I explained that to her, but she is demanding a refund. "
0, Is the product broken?
0, Yes. I told her she needs to contact the manufacturer.
0, What did she say about that?
-1, She is refusing to call the manufacturer because she doesn't have a warranty. 
0, I will talk to her. Transfer the call to me.
-1," Hey, B. This is A. My flight has been delayed. I won't be there on time. "
0, I guess I'll have to do the presentation alone.
0, Are you prepared to do that?
-1, I have no choice. 
0, Can we postpone the meeting?
-1, No. The clients are catching a flight right after the meeting. 
1, We went to the best restaurant in town.
0, How was the food?
1, The food was delicious. It was the best seafood I ever had.
0, How was the service?
1, The service was excellent. The waiter was attentive and very polite.
0, We should go back together.
1, Definitely. I will take you next time.
0, I wish I could've joined you tonight.
0, Me too. Are you feeling any better?
-1," A little, but I still feel sick. "
0, Are you hungry?
0, Yes.
1," The clam chowder was delicious, so I brought you some."
1, Thank you! I love clam chowder.
1," I hope you feel better soon, so I can take you there."
1, Me too. I love good seafood.
0, What are you working on?
0, I'm designing a logo.
0, What is the logo for?
0, We're launching a new brand of shoes.
0, Who is your target audience?
0, Children.
0, Did you hear about the big earthquake?
0, No.
0, It's been all over the news and Internet.
-1, I don't follow the news. 
0," Then, how do you know what's going on?"
0," If it's important, I'll hear people talking about it."
0, Don't you want to know as soon as something happens?
-1, The news is too scary. 
0, Why is it scary?
-1," They only talk about bad things like crime, accidents, and earthquakes. "
0, I need to lose weight.
0, I've been on a no sugar diet.
0, How is that going?
-1, I miss sweet desserts. 
-1," Oh, no, I love sweets too much ! "
0, Maybe you should try a no fat diet.
0," NAME, get ready. We're going to your grandparents' house for dinner."
0, Again? We went there last weekend.
0, That's right. Remember we go every Sunday evening.
-1, But grandma's food tastes weird. 
1, Don't be rude. She loves to cook for us.
-1," I know. I love them. But she always makes the same dish, chicken pot pie. "
1," Your grandfather likes it. It's his favorite, so we're going to eat it too."
-1," Ok, Mom. Sorry for being rude. "
0, Why don't we pick up a dessert on the way to their house?
1, Ok! Can we get ice cream?
0, Sure. We can make ice cream sundaes after dinner.
1," Mom, that's funny."
0, What's funny?
0, Sundaes on Sundays.
1, That is funny. This will be our new tradition.
1, Grandpa will love it. He loves ice cream too.
0," Well B, do you have any more questions?"
0, What time do I start work?
0, Our office opens at 8 AM. Can you start at 8?
0, I'm a single dad. I need to take my son to school by 8 AM. Would I be able to start at 9?
-1, 9 AM is a little late for our company. This may be a problem. 
-1, Please consider my situation. It's hard to be a single dad and have a career. 
0," B, I completely understand. I'm a single parent too."
0, You are?
0, Yes. So I will discuss it with the other managers and ask them to let you start at 9 AM.
1, Thank you so much! I look forward to hearing from you.
-1, I'm sick and tired of fixing the dishwasher. 
0, Maybe it's time to buy a new one.
0, Can we afford to buy a new one?
0, It costs more money to fix every month.
0, You're right.
0, Let's go shopping for a new dishwasher today.
0, I'm looking for pots and pans.
0, That section is right over there.
1, Thank you so much.
1, Perhaps you'd like to sign up for our store credit card.
0," No, but thank you. I have plenty of credit cards."
1, Our credit card saves you 10 percent instantly on all purchases.
1, That does sound nice.
1, Just fill out this form and you'll get your discount immediately.
0," You know, I'll pass on it today."
1, No problem. These forms are also at the front of the store on your way out.
0, We need to have a talk.
0, Is there a problem?
-1, I feel like I do all of the cleaning. I clean up your mess too. 
-1, I'm sorry. I promise to keep the apartment clean. 
0, Why don't we divide the housework?
0, Ok. How do you want to divide it?
0," We will clean up our own messes. Then, we will take turns cleaning the common areas."
0, What are the common areas?
0," Places that we use together, like the bathroom, kitchen, and living room."
0, That sounds fair.
0, Do you remember our 10th birthday?
0, Yes! We got a puppy that year.
-1, I miss that puppy. 
1, Me too. He had a great name.
0," Actually, I don't remember his name."
-1, How could you forget his name? His name was NAME. 
-1, Oh yeah. It was a sad day when NAME died. 
-1, I never wanted another dog after that. 
0, How old was NAME when he died?
-1, You don't remember anything! He was 14 years old. 
0, I have to negotiate a deal with a client.
0, How do you think it will go?
-1, Not well. I heard he is very tough. 
0, Do you want some advice?
-1, Yes! I'm not good at negotiating. 
0, Make sure you do your homework.
0, What do you mean?
0," Collect as much information before negotiation starts, so you know your options."
1, That's great advice.
0," The more info you have, the smarter you will look."
1, That is nice.
-1, I am so angry! 
0, Why? What happened?
-1, Someone keeps leaving their dog's poop on my lawn. 
0, What are you going to do?
-1, I am going to video record my yard and find out who the person is. 
0," Then, you can bag it up and deliver it to their house."
1, Dogs are the best animals in the world.
1," No, they're not. Cats are the best."
1, Dogs are loyal and obedient.
1, Cats are cute and cuddly.
1, Dogs are cute and cuddly too.
1, Cats are smart. They can use a litter box.
1, Dogs are smart too.
-1, Not as smart as cats. 
-1," I've seen many service dogs, but I've never seen a service cat before. Have you? "
-1," Actually, no. "
-1, I'm worried about this meeting. 
0, Why?
-1, I'm meeting with a really tough negotiator. 
1, Be confident. You can do it.
-1, I'm just worried because our company really needs this contract. 
0," I know we do, but don't let him know how much we need it."
-1, I won't. I'll look tough too. 
-1, Don't ever let him see you sweat. That will make him think you're nervous. 
-1, I am nervous! 
-1, He doesn't need to know that! 
-1, I cannot negotiate with this client! 
0, What's the problem?
-1, He is so rude! 
0," When you negotiate with someone, don't take things personally."
-1," I know, but he makes me so angry. "
0, Maybe that's his strategy.
0, Do you know how to draw?
